Tolerance,FP,TP,FN,TN
0.37,0,3,0,27
0.38,2,3,0,25
0.39,3,3,0,24
0.4,4,3,0,23
0.41,7,3,0,20
0.42,8,3,0,19
0.43,11,3,0,16
0.44,13,3,0,14
0.45,15,3,0,12
0.46,16,3,0,11
0.47,16,3,0,11
0.48,17,3,0,10
0.49,19,3,0,8
0.5,19,3,0,8
0.51,22,3,0,5
0.52,23,3,0,4
0.53,24,3,0,3
0.54,25,3,0,2
0.55,27,3,0,0
