Tolerance,FP,TP,FN,TN
0.32,0,3,0,27
0.33,1,3,0,26
0.34,1,3,0,26
0.35,2,3,0,25
0.36,3,3,0,24
0.37,4,3,0,23
0.38,5,3,0,22
0.39,6,3,0,21
0.4,8,3,0,19
0.41,13,3,0,14
0.42,15,3,0,12
0.43,16,3,0,11
0.44,17,3,0,10
0.45,19,3,0,8
0.46,20,3,0,7
0.47,21,3,0,6
0.48,23,3,0,4
0.49,25,3,0,2
0.5,25,3,0,2
0.51,25,3,0,2
0.52,27,3,0,0
